Dataset,Treatment,Classifier,'Sample ID','True Positive','False Positive','True Negative','False Negative',Precision,AUC,Kappa
ant_UNDERSAMPLED_0.csv,UNDERSAMPLED,'LOGISTIC REGRESSION',_0,0.634259,0.259259,0.740741,0.365741,0.709845,0.776899,0.375
ant_UNDERSAMPLED_0.csv,UNDERSAMPLED,SVM,_0,0.652778,0.217593,0.782407,0.347222,0.75,0.717593,0.435185
ant_UNDERSAMPLED_0.csv,UNDERSAMPLED,'DECISION TREE',_0,0.666667,0.263889,0.736111,0.333333,0.716418,0.689097,0.402778
ant_UNDERSAMPLED_17.csv,UNDERSAMPLED,'RANDOM FOREST',_17,0.717593,0.263889,0.736111,0.282407,0.731132,0.786319,0.453704
ant_UNDERSAMPLED_17.csv,UNDERSAMPLED,'NAIVE BAYES',_17,0.587963,0.180556,0.819444,0.412037,0.76506,0.770083,0.407407
ant_UNDERSAMPLED_17.csv,UNDERSAMPLED,'K-NEAREST NEIGHBOURS: LINEAR NN',_17,0.662037,0.208333,0.791667,0.337963,0.760638,0.767693,0.453704
ant_UNDERSAMPLED_17.csv,UNDERSAMPLED,'LOGISTIC REGRESSION',_17,0.657407,0.231481,0.768519,0.342593,0.739583,0.769419,0.425926
ant_UNDERSAMPLED_17.csv,UNDERSAMPLED,SVM,_17,0.662037,0.203704,0.796296,0.337963,0.764706,0.729167,0.458333
ant_UNDERSAMPLED_17.csv,UNDERSAMPLED,'DECISION TREE',_17,0.717593,0.287037,0.712963,0.282407,0.714286,0.689247,0.430556
ant_UNDERSAMPLED_16.csv,UNDERSAMPLED,'RANDOM FOREST',_16,0.726852,0.305556,0.694444,0.273148,0.704036,0.763771,0.421296
ant_UNDERSAMPLED_16.csv,UNDERSAMPLED,'NAIVE BAYES',_16,0.509259,0.175926,0.824074,0.490741,0.743243,0.743184,0.333333
ant_UNDERSAMPLED_16.csv,UNDERSAMPLED,'K-NEAREST NEIGHBOURS: LINEAR NN',_16,0.662037,0.222222,0.777778,0.337963,0.748691,0.750589,0.439815
ant_UNDERSAMPLED_16.csv,UNDERSAMPLED,'LOGISTIC REGRESSION',_16,0.666667,0.268519,0.731481,0.333333,0.712871,0.764575,0.398148
ant_UNDERSAMPLED_16.csv,UNDERSAMPLED,SVM,_16,0.680556,0.240741,0.759259,0.319444,0.738693,0.719907,0.439815
ant_UNDERSAMPLED_16.csv,UNDERSAMPLED,'DECISION TREE',_16,0.685185,0.314815,0.685185,0.314815,0.685185,0.673622,0.37037
ant_UNDERSAMPLED_1.csv,UNDERSAMPLED,'RANDOM FOREST',_1,0.689815,0.25,0.75,0.310185,0.73399,0.767843,0.439815
ant_UNDERSAMPLED_1.csv,UNDERSAMPLED,'NAIVE BAYES',_1,0.560185,0.162037,0.837963,0.439815,0.775641,0.747031,0.398148
ant_UNDERSAMPLED_1.csv,UNDERSAMPLED,'K-NEAREST NEIGHBOURS: LINEAR NN',_1,0.648148,0.25,0.75,0.351852,0.721649,0.726391,0.398148
ant_UNDERSAMPLED_1.csv,UNDERSAMPLED,'LOGISTIC REGRESSION',_1,0.648148,0.25,0.75,0.351852,0.721649,0.755294,0.398148
ant_UNDERSAMPLED_1.csv,UNDERSAMPLED,SVM,_1,0.606481,0.189815,0.810185,0.393519,0.761628,0.708333,0.416667
ant_UNDERSAMPLED_1.csv,UNDERSAMPLED,'DECISION TREE',_1,0.643519,0.291667,0.708333,0.356481,0.688119,0.684521,0.351852
ant_UNDERSAMPLED_5.csv,UNDERSAMPLED,'RANDOM FOREST',_5,0.662037,0.277778,0.722222,0.337963,0.704433,0.753997,0.384259
ant_UNDERSAMPLED_5.csv,UNDERSAMPLED,'NAIVE BAYES',_5,0.537037,0.180556,0.819444,0.462963,0.748387,0.735366,0.356481
ant_UNDERSAMPLED_5.csv,UNDERSAMPLED,'K-NEAREST NEIGHBOURS: LINEAR NN',_5,0.62037,0.203704,0.796296,0.37963,0.752809,0.753065,0.416667
ant_UNDERSAMPLED_5.csv,UNDERSAMPLED,'LOGISTIC REGRESSION',_5,0.675926,0.287037,0.712963,0.324074,0.701923,0.735147,0.388889
ant_UNDERSAMPLED_5.csv,UNDERSAMPLED,SVM,_5,0.638889,0.25463,0.74537,0.361111,0.715026,0.69213,0.384259
ant_UNDERSAMPLED_5.csv,UNDERSAMPLED,'DECISION TREE',_5,0.615741,0.273148,0.726852,0.384259,0.692708,0.656336,0.342593
ant_UNDERSAMPLED_12.csv,UNDERSAMPLED,'RANDOM FOREST',_12,0.74537,0.263889,0.736111,0.25463,0.738532,0.797507,0.481481
ant_UNDERSAMPLED_12.csv,UNDERSAMPLED,'NAIVE BAYES',_12,0.523148,0.12963,0.87037,0.476852,0.801418,0.762978,0.393519
ant_UNDERSAMPLED_12.csv,UNDERSAMPLED,'K-NEAREST NEIGHBOURS: LINEAR NN',_12,0.648148,0.208333,0.791667,0.351852,0.756757,0.766482,0.439815
